LOB,CoverageName,CoverageCode
WCMLine,Kansas Home And Community Based Services Waiver Program Endorsement,WCMHomeAndCommunityBasedServicesWaiverProgramEndor
WCMLine,Voluntary Compensation Maritime Coverage Endorsement,WCMVoluntaryCompensationMaritimeCovEndorsement
WCMLine,Designated Workplaces Exclusion Endorsement,WCMDesignatedWorkplacesExclEndorsement
WCMLine,Employers Liability Coverage Endorsement (Stop Gap),WCMEmployersLiabCovEndorsementC
WCMLine,Amendatory Endorsement (Audit Noncompliance Charge),WCMAmendatoryEndorsement
WCMLine,Nonratable Class,WCMNonratableClass
WCMLine,USLH Premium,WCMUSLHPremium
WCMLine,Occupational Safety and Health Fund Assessment,WCMWorkersOccupationalSafetyandHealthFundCA
WCMLine,Florida Employee Leasing Company Client Company Direct Workers Inclusion Endorsement,WCMEmplLeasingCompanyClientCompanyDirectWorkersInc
WCMLine,California Professional Corporation Coverage / Exclusion,WCMProfessionalCorpCvgExcl
WCMLine,Drug and Alcohol Prevention Program Credit,WCMDrugAlcoholPrevention_Ext
WCMLine,Montana Employee Leasing/Professional Employer Endorsement,WCMEmplLeasingProfessionalEmployerEndorsement
WCMLine,Premium Incentive For Small Employers,WCMPremiumIncentiveForSmallEmployers
WCMLine,Professional Employer Organization (PEO) Exclusion Endorsement,WCMProfessionalEmployerOrganizationExclEndorsement
WCMLine,North Carolina Professional Employer Organization (PEO) Client Extension Endorsement,WCMProfessionalEmployerOrganizationClientExtension
WCMLine,MN Compliance with Applicable Trade Sanction Laws,WCMMNCompTradeSanctionLaws
WCMLine,Designated Operations Exclusion,WCMDesignatedOperationsExcl
WCMLine,Pro-Rata Cancellation Endorsement,WCMProRataCancellationEndorsement
WCMLine,New Jersey Approved Managed Care Program Endorsement,WCMApprovedManagedCareProgramEndorsement
WCMLine,Federal Employer Identification Number,WCMFedEmployerIdentificationNumber
WCMLine,New Jersey Sole Proprietors And Partners Coverage Endorsement,WCMSoleProprietorsAndPartnersCovEndorsement
WCMLine,Employee Leasing Company Client Company Exclusion Endorsement,WCMClientCompanyExclEndorsement
WCMLine,Oregon Confidentiality Endorsement,WCMConfidentialityEndorsement
WCMLine,Loss Constant,WCMLossConstant
WCMLine,Contracting Classification Premium Adjustment Endorsement,WCMContractingClassificationPremiumAdjustmentEndor
WCMLine,Schedule Mod,WCMScheduleMod
WCMLine,Audit Noncompliance Charge,WCMAuditNoncomplianceCharge
WCMLine,Work Study,WCMWorkStudy
WCMLine,Church Endorsement - Pennsylvania,WCMChurchEndorsement
WCMLine,Wisconsin Contractors Premium Adjustment Program Endorsement,WCMContractingPremiumAdjustmentProgramEndorsement
WCMLine,Admiralty Incr Limits,WCMAdmiraltyIncrLmts
WCMLine,Expense Constant Minimum Premium,WCMExpenseConstantMinPremium
WCMLine,Joint Venture Exclusion,WCMJointVentureExclCA
WCMLine,Virginia Client Company Endorsement,WCMClientCompanyEndorsement
WCMLine,Oregon Group Supplemental Experience Rating Plan,WCMORGroupSupplementalExperienceRatingPlan
WCMLine,Migrant And Seasonal Agricultural Worker Protection Act Coverage Endorsement,WCMMigrantAndSeasonalAgriculturalWorkerProtectionA
WCMLine,Outer Continental Shelf Lands Act Coverage Endorsement,WCMOuterContinentalShelfLandsActCovEndorsementA
WCMLine,Kansas Per Occurrence Benefits Deductible Endorsement,WCMPerOccurrenceBenefitsDedEndorsement
WCMLine,WC Policyholder Surcharge,WCMDCPolicyholderSurcharge
WCMLine,Endorsement Agreement Limiting and Restricting This Insurance,WCMEndorAgreementLimitingIns
WCMLine,Premium Discount,WCMPremiumDiscountWV
WCMLine,Labor Contractor Client as Named Insured - Exclusion of Client's Employees,WCMLaborContractorExclClientEmployees
WCMLine,Audit Noncompliance Charge Endorsement,WCMAuditNoncomplianceChargeEndorsement
WCMLine,Designated Operations at Designated Locations Coverage,WCMDesignOpsAtDesignLoc
WCMLine,Nevada Leased Employee Exclusion Endorsement For Policy Covering Nonleased And/Or Direct Employees Of A Client Company,WCMNVEmplLeasingClientExclEndorsement
WCMLine,Nonappropriated Fund Instrumentalities Act Coverage Endorsement,WCMNonappropriatedFundInstrumentalitiesActCovEndor
WCMLine,California Contractors Schedule Endorsement,WCMContractorsSchedEndorsementCA
WCMLine,New York Domestic Workers Restricted Endorsement,WCMDomesticWorkRestrictEndorsement_Ext
WCMLine,Partnership Coverage / Jointly and Not Severally Exclusion,WCMPartnerCvgJointNonSeverallyExcl
WCMLine,Premium Discount,WCMPremiumDiscount
WCMLine,Religious Institution Endorsement - Pennsylvania,WCMReligiousInstitutionEndorsement
WCMLine,Amendatory Endorsement - Farming Operation - Delaware,WCMAmendatoryEndorsementFarmingOps
WCMLine,Policy Termination/Cancellation/Reinstatement Notice,WCMPolicyTerminationCancellationReinstatementNotic
WCMLine,Utah Workplace Safety Program Endorsement,WCMWorkplaceSafetyProgramEndorsement
WCMLine,Nonratable Incr Limits Balance To Minimum,WCMNonratableIncrLmtsBalanceToMin
WCMLine,Compulsory Workplace Safety Program Surcharge,WCMWorkPlaceSafetyProgram_Ext
WCMLine,KY Special Fund Assessment,WCMKYSpecialFundAssessment
WCMLine,State Admiralty Incr Limits Minimum Premium,WCMStateAdmiraltyIncrLmtsMinPremium
WCMLine,Colorado Premium Credit for Certified Risk Management Programs Endorsement,WCMCOPremiumCreditForCertifiedRiskManageProgramsEn
WCMLine,Drug Free Workplace,WCMDrugFreeWorkplace
WCMLine,Premium Reduction Program,WCMPremiumReductionProgram
WCMLine,Waiver of Our Right to Recover from Others Endorsement,WCMWaiverOfOurRightToRecoverFromOthersEndorsement
WCMLine,Supplementary Disease Premium,WCMSupplementaryDiseasePremium
WCMLine,Labor Contractor Exclusion Endorsement,WCMLaborContractorExclEndorsement1
WCMLine,Construction Class,WCMConstructionClass
WCMLine,New York Designated Workplace Cancelation Endorsement and Notice of Partial Cancelation,WCMDesigWorkCancelEndors_Ext
WCMLine,Qualifying Class,WCMQualifyingClass
WCMLine,"New York Sole Proprietors, Partners and Members of LLC's, PSLC's and RLLP's Coverage Endorsement",WCMSolePartnerMemberLLCCovEndo_Ext
WCMLine,New Mexico Consumer Directed Program Endorsement,WCMConsumerDirectedProgramEndorsement
WCMLine,Drug Free Workplace For Coal Mines,WCMDrugFreeWorkplaceForCoalMines
WCMLine,Statutory Employer Endorsement - Pennsylvania,WCMStatutoryEmployerEndorsement
WCMLine,Texas Volunteer Workers Coverage Endorsement,WCMVolunteerWorkersCovEndorsement
WCMLine,Texas Professional Employer Organization (PEO) Executive Employee Inclusion Endorsement,WCMProfessionalEmployerOrganizationExecutiveEmplIn
WCMLine,Maryland Construction Classification Premium Reduction Program Endorsement,WCMConstructionClassificationPremiumReductionProgr
WCMLine,New York Executive Officers Hold Harmless Endorsement,WCMExecOfficeHoldHarmless_Ext
WCMLine,Pending Rate Change Endorsement,WCMPendingRateChangeEndorsement
WCMLine,Class Transportation Wages Maintenance And Cure,WCMClassTransportationWagesMaintenanceAndCure
WCMLine,South Dakota Policy Fee,WCMSouthDakotaPolicyFee
WCMLine,Longshore And Harbor Workers' Compensation Act Rate Change Endorsement,WCMLongshoreAndHarborWCMensationActRateChangeEndor
WCMLine,Employer Assessment,WCMEmployerAssessment
WCMLine,WC Administration Revolving Fund,WCMWCAdministrationRevolvingFundCA
WCMLine,Rate Deviation Adjustment,WCMRateDeviationAdjustment
WCMLine,Stay At Work Return To Work Surcharge,WCMStayAtWorkReturnToWorkSurcharge
WCMLine,Massachusetts Benefits Claim And Aggregate Deductible Endorsement,WCMBenefitsClaimAndAggDedEndorsement
WCMLine,Wisconsin Employee Leasing Company Client Termination Endorsement - Master Policy,WCMEmplLeasingCompanyClientTerminationEndorsement
WCMLine,Class Oil Gas Or Other Mineral Operations On Or Over Water,WCMClassOilGasOrOtherMineralOpsOnOrOverWater
WCMLine,Other States Insurance (Section 3C),WCMOtherStatesInsurance1
WCMLine,Terrorism Risk Insurance Program Reauthorization Act Disclosure Endorsement,WCMTerrRiskInsuranceProgramReauthorizationActDisc2
WCMLine,Professional Association Act Endorsement - Pennsylvania,WCMProfessionalAssociationActEndorsement
WCMLine,Wisconsin Change of Insurance Carrier Name Endorsement,WCMChangeOfInsCarrierNameEndorsement
WCMLine,Coal Mine Disease Charge Premium,WCMCoalMineDiseaseChargePremium
WCMLine,Professional Employer Organization (PEO) Extension Endorsement,WCMProfessionalEmployerOrganizationExtensionEndors
WCMLine,Employers Liability Incr Limits Balance To Minimum,WCMEmployersLiabIncrLmtsBalanceToMin
WCMLine,Natural Disasters and Catastrophic Industrial Accidents,WCMNaturalDisastersAndIndustrialAccidents_Ext
WCMLine,Labor Contractor Exclusion Endorsement,WCMLaborContractorExclEndorsement
WCMLine,Professional Employer Organization (PEO) Multiple Coordinated Policy Endorsement For Policy Covering The PEO,WCMProfessionalEmployerOrganizationMultipleCoordin
WCMLine,Pennsylvania Employer Assessment Endorsement,WCMEmployerAssessmentEndorsement
WCMLine,Federal Premium Discount,WCMFedPremiumDiscount
WCMLine,IL WC Commission Operations Fund Surcharge,WCMILCommOprFundSurcharge
WCMLine,Federal Mine Safety And Health Act Coverage Endorsement,WCMFedCoalMineHealthAndSafetyActCovEndorsement_Ext
WCMLine,Farm Schedule Endorsement - California,WCMFarmScheduleEndorsementCA
WCMLine,North Carolina Non-Insurance Goods And/Or Services Endorsement,WCMNonInsuranceGoodsAndOrServicesEndorsement
WCMLine,Rural Electrification Administration Endorsement,WCMRuralElectrificationAdministrationEndorsement
WCMLine,All Risk Adjustment Program,WCMAllRiskAdjustmentProgram
WCMLine,District Of Columbia Safe Workplace Program Endorsement,WCMSafeWorkplaceProgramEndorsement
WCMLine,Experience Rating Modification Factor Endorsement,WCMExperienceRatingModificationEndorsement
WCMLine,Designated Operations at Designated Locations Exclusion,WCMDesignOpsAtDesignLocExcl
WCMLine,Tennessee Consent to Rate Endorsement,WCMTNConsentToRateEndorsment_Ext
WCMLine,Employee Leasing Labor Contractor Endorsement,WCMEmplLeasingLaborContractorEndorsement
WCMLine,Employee Leasing,WCMEmplLeasing
WCMLine,Small Deductible,WCMSmallDed
WCMLine,Exclusion Of Employees Endorsement - Pennsylvania,WCMExclOfEmplsEndorsement
WCMLine,Illinois Kotecki Waiver ,ILKotecki
WCMLine,Employers Liab Incr Limits,WCMEmployersLiabIncrLmts
WCMLine,Limited Other States Benefit Endorsement,WCMLmtdOtherStatesInsuranceEndorsement
WCMLine,Employee Leasing Endorsement,WCMEmplLeasingEndorsement
WCMLine,WC Administrative Surcharge ,WCMMOAdministrativeSurcharge
WCMLine,Managed Care Endorsement,WCMManagedCareEndorsement
WCMLine,California Officers and Directors Coverage/Exclusion Endorsement,WCMOffAndDirectorsCovExclEndorsementCA
WCMLine,Massachusetts Pending Premium Change Endorsement,WCMPendingPremiumChangeEndorsement
WCMLine,Joint Venture As Insured Endorsement,WCMJointVentureAsInsuredEndorsement
