LOB,CoverageCode,CoverageName
WCMLine,WCMHomeAndCommunityBasedServicesWaiverProgramEndor,Kansas Home And Community Based Services Waiver Program Endorsement
WCMLine,WCMVoluntaryCompensationMaritimeCovEndorsement,Voluntary Compensation Maritime Coverage Endorsement
WCMLine,WCMDesignatedWorkplacesExclEndorsement,Designated Workplaces Exclusion Endorsement
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap)
WCMLine,WCMAmendatoryEndorsement,Amendatory Endorsement (Audit Noncompliance Charge)
WCMLine,WCMNonratableClass,Nonratable Class
WCMLine,WCMUSLHPremium,USLH Premium
WCMLine,WCMWorkersOccupationalSafetyandHealthFundCA,Occupational Safety and Health Fund Assessment
WCMLine,WCMEmplLeasingCompanyClientCompanyDirectWorkersInc,Florida Employee Leasing Company Client Company Direct Workers Inclusion Endorsement
WCMLine,WCMProfessionalCorpCvgExcl,California Professional Corporation Coverage / Exclusion
WCMLine,WCMEmplLeasingProfessionalEmployerEndorsement,Montana Employee Leasing/Professional Employer Endorsement
WCMLine,WCMDrugAlcoholPrevention_Ext,Drug and Alcohol Prevention Program Credit
WCMLine,WCMSefePatientHandlingACTNYSPHAP_Ext,Safe Patient Handling Act Program Premium Credit (NYSPHAP)
WCMLine,WCMProfessionalEmployerOrganizationExclEndorsement,Professional Employer Organization (PEO) Exclusion Endorsement
WCMLine,WCMPremiumIncentiveForSmallEmployers,Premium Incentive For Small Employers
WCMLine,WCMProfessionalEmployerOrganizationClientExtension,North Carolina Professional Employer Organization (PEO) Client Extension Endorsement
WCMLine,WCMMNCompTradeSanctionLaws,MN Compliance with Applicable Trade Sanction Laws
WCMLine,WCMDesignatedOperationsExcl,Designated Operations Exclusion
WCMLine,WCMNoticeOfCancellationToOthersEndorsement,Arizona Courtesy Notice of Cancellation to Others Endorsement
WCMLine,WCMProRataCancellationEndorsement,Pro-Rata Cancellation Endorsement
WCMLine,WCMApprovedManagedCareProgramEndorsement,New Jersey Approved Managed Care Program Endorsement
WCMLine,SecurityFundSurcharge,Security Fund Surcharge
WCMLine,WCMFedEmployerIdentificationNumber,Federal Employer Identification Number
WCMLine,WCMSoleProprietorsAndPartnersCovEndorsement,New Jersey Sole Proprietors And Partners Coverage Endorsement
WCMLine,WCMClientCompanyExclEndorsement,Employee Leasing Company Client Company Exclusion Endorsement
WCMLine,WCMConfidentialityEndorsement,Oregon Confidentiality Endorsement
WCMLine,WCMLossConstant,Loss Constant
WCMLine,WCMContractingClassificationPremiumAdjustmentEndor,Contracting Classification Premium Adjustment Endorsement
WCMLine,WCMScheduleMod,Schedule Mod
