LOB,CoverageCode,CoverageName,VariableCode,VariableName
WCMLine,WCMHomeAndCommunityBasedServicesWaiverProgramEndor,Kansas Home And Community Based Services Waiver Program Endorsement,NA,NA
WCMLine,WCMVoluntaryCompensationMaritimeCovEndorsement,Voluntary Compensation Maritime Coverage Endorsement,WCMUnavailableState_ext26,Unavailable States
WCMLine,WCMVoluntaryCompensationMaritimeCovEndorsement,Voluntary Compensation Maritime Coverage Endorsement,WCMAvailableState_ext26,Available States
WCMLine,WCMDesignatedWorkplacesExclEndorsement,Designated Workplaces Exclusion Endorsement,WCMAvailableState_ext27,Available States
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WCMWA,Washington
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WYPayroll,Payroll
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WCMOH,Ohio
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),OHPayroll,Payroll
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WCMWY,Wyoming
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WCMPR,Puerto Rico
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WAPayroll,Payroll
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),WCMND,North Dakota
WCMLine,WCMEmployersLiabCovEndorsementC,Employers Liability Coverage Endorsement (Stop Gap),NDPayroll,Payroll
WCMLine,WCMAmendatoryEndorsement,Amendatory Endorsement (Audit Noncompliance Charge),WCMBasisOfAuditNoncomplianceCharge,Basis of Audit Noncompliance Charge
WCMLine,WCMAmendatoryEndorsement,Amendatory Endorsement (Audit Noncompliance Charge),WCMNoncomplianceChargeMultiplier1,Maximum Audit Noncompliance Charge Multiplier
WCMLine,WCMAmendatoryEndorsement,Amendatory Endorsement (Audit Noncompliance Charge),WCMMaxNoncomplianceChargeAmount,Maximum Audit Noncompliance Charge $ Amount
WCMLine,WCMAmendatoryEndorsement,Amendatory Endorsement (Audit Noncompliance Charge),WCMCancelMethod,Cancel Method
WCMLine,WCMNonratableClass,Nonratable Class,NA,NA
WCMLine,WCMUSLHPremium,USLH Premium,NA,NA
WCMLine,WCMWorkersOccupationalSafetyandHealthFundCA,Occupational Safety and Health Fund Assessment,NA,NA
WCMLine,WCMEmplLeasingCompanyClientCompanyDirectWorkersInc,Florida Employee Leasing Company Client Company Direct Workers Inclusion Endorsement,NA,NA
WCMLine,WCMProfessionalCorpCvgExcl,California Professional Corporation Coverage / Exclusion,NA,NA
WCMLine,WCMEmplLeasingProfessionalEmployerEndorsement,Montana Employee Leasing/Professional Employer Endorsement,NA,NA
WCMLine,WCMDrugAlcoholPrevention_Ext,Drug and Alcohol Prevention Program Credit,NA,NA
WCMLine,WCMSefePatientHandlingACTNYSPHAP_Ext,Safe Patient Handling Act Program Premium Credit (NYSPHAP),NA,NA
WCMLine,WCMProfessionalEmployerOrganizationExclEndorsement,Professional Employer Organization (PEO) Exclusion Endorsement,NA,NA
WCMLine,WCMPremiumIncentiveForSmallEmployers,Premium Incentive For Small Employers,WCMNumberLostTimeClaims,Number of Lost Time Claims
WCMLine,WCMPremiumIncentiveForSmallEmployers,Premium Incentive For Small Employers,WCMNumberYears,Number of Years
WCMLine,WCMProfessionalEmployerOrganizationClientExtension,North Carolina Professional Employer Organization (PEO) Client Extension Endorsement,NA,NA
WCMLine,WCMMNCompTradeSanctionLaws,MN Compliance with Applicable Trade Sanction Laws,EndorsementEffDate,Endorsement Effective Date
WCMLine,WCMMNCompTradeSanctionLaws,MN Compliance with Applicable Trade Sanction Laws,EndorsementNumber,Endorsement Number
WCMLine,WCMDesignatedOperationsExcl,Designated Operations Exclusion,WCMDesignatedOperationsExclPolicyholderAffirmed,Policyholder has affirmed in writing that other coverage is secured or the entity is lawfully uninsured
WCMLine,WCMDesignatedOperationsExcl,Designated Operations Exclusion,WCMDesignatedOperationsExclLiabilityLawfully,Liability is lawfully uninsured
